Designator,Mid X,Mid Y,Layer,Rotation
14VN,20.52,86.89,Bottom,0.0
14VP,43.51,91.61,Bottom,180.0
C21,23.17,82.58,Bottom,180.0
FB0,51.82,26.72,Bottom,0.0
FB1,17.37,16.96,Bottom,90.0
FB2,53.68,14.23,Bottom,270.0
FB3,52.77,30.60,Bottom,270.0
FB4,44.01,12.84,Bottom,0.0
FB5,52.56,38.79,Bottom,0.0
FB6,45.19,19.22,Bottom,270.0
FB7,52.74,41.24,Bottom,270.0
IC16,20.70,80.02,Bottom,180.0
IC17,25.81,80.51,Bottom,180.0
REF/2,31.86,58.71,Bottom,0.0
TP_BSW_G,26.74,99.61,Bottom,0.0
TP_VFB_14VN,31.98,90.53,Bottom,0.0
TP_VFB_14VP,46.49,89.26,Bottom,270.0
TP_VREF_TPS,34.74,88.29,Bottom,0.0
VCOMB,36.48,55.27,Bottom,270.0
VFB12VN,30.37,75.43,Bottom,270.0
VFB12VP,47.25,72.74,Bottom,90.0
VREF,41.19,59.18,Bottom,180.0
VREFR,48.58,53.45,Bottom,270.0
