Designator,Mid X,Mid Y,Layer,Rotation
12VN,32.02,82.95,Top,0.0
12VP,44.80,82.57,Top,0.0
AVDD,34.47,67.32,Top,45.0
BUF,39.13,75.45,Top,0.0
C1,19.64,19.48,Top,90.0
C2,20.76,19.48,Top,90.0
C3,21.89,19.48,Top,90.0
C4,44.61,14.55,Top,90.0
C5,52.41,34.89,Top,180.0
C6,43.81,20.88,Top,270.0
C7,52.53,41.22,Top,180.0
C8, 9.50,14.33,Top,270.0
C9,52.74,15.20,Top,0.0
C10,46.35,31.13,Top,270.0
C11,46.54,43.35,Top,270.0
C12,41.54,15.28,Top,0.0
C13,46.51,36.69,Top,270.0
C14,46.79,20.84,Top,180.0
C15,36.24,64.74,Top,135.0
C16,37.08,65.60,Top,135.0
C17,32.98,61.61,Top,135.0
C18,35.46,60.29,Top,225.0
C19,15.66,55.08,Top,90.0
C20,13.01,50.01,Top,180.0
C22,31.43,49.11,Top,270.0
C23,20.25,41.51,Top,270.0
C24,16.86,41.47,Top,90.0
C25,21.82,49.55,Top,180.0
C26,17.48,102.95,Top,180.0
C27,17.43,91.59,Top,180.0
C28,23.03,19.47,Top,90.0
C29,24.16,19.47,Top,90.0
C30,25.28,19.50,Top,90.0
C31,26.43,19.47,Top,90.0
C32,27.53,19.47,Top,90.0
C33,28.68,19.47,Top,90.0
C34,29.83,19.47,Top,90.0
C35,30.96,19.50,Top,90.0
C36,32.08,19.47,Top,90.0
C37,33.20,19.47,Top,90.0
C38,34.35,19.47,Top,90.0
C39,35.48,19.47,Top,90.0
C40,36.60,19.47,Top,90.0
C41,18.61,43.58,Top,180.0
C42,37.33,41.51,Top,270.0
C43,33.85,41.50,Top,90.0
C44,35.63,43.70,Top,180.0
C45,45.32,56.41,Top,0.0
C46,38.39,56.99,Top,90.0
C47,45.33,57.62,Top,0.0
C48,45.96,51.91,Top,0.0
C49,41.44,57.56,Top,180.0
C50,40.70,33.57,Top,0.0
C51,39.62,32.30,Top,0.0
C52,30.74,35.77,Top,180.0
C53,30.76,36.95,Top,180.0
C54,30.72,33.48,Top,180.0
C55,30.73,34.63,Top,180.0
C56,30.83,27.20,Top,180.0
C57,30.80,26.10,Top,180.0
C58,41.55,27.14,Top,90.0
C59,40.38,27.14,Top,90.0
C60,13.69,26.10,Top,180.0
C61,13.71,27.28,Top,180.0
C62,23.15,27.11,Top,90.0
C63,24.30,27.12,Top,90.0
C64,22.26,32.45,Top,0.0
C65,23.55,33.63,Top,0.0
C66,13.48,35.55,Top,180.0
C67,13.43,36.92,Top,180.0
C68,13.46,33.33,Top,180.0
C69,13.46,34.50,Top,180.0
C70,21.72,47.12,Top,0.0
C71,26.09,44.04,Top,270.0
C72,45.03,49.51,Top,270.0
C73,43.78,50.77,Top,270.0
C74,39.83,47.43,Top,180.0
C75,36.25,47.44,Top,0.0
C76,34.28,51.08,Top,270.0
C77,27.38,75.74,Top,135.0
C78,53.97,99.73,Top,90.0
C79,54.28,96.11,Top,270.0
C80,27.86,57.42,Top,315.0
C81,30.31,61.80,Top,315.0
C82,19.37,57.77,Top,225.0
C83,22.94,69.80,Top,135.0
C84,29.42,68.11,Top,45.0
C85,31.46,102.52,Top,90.0
C86,32.75,102.52,Top,90.0
C87,18.98,66.42,Top,135.0
C88,28.65,68.89,Top,45.0
C89,32.00,64.92,Top,45.0
C90,30.88,104.67,Top,0.0
C91,37.09,94.55,Top,270.0
C92,37.47,91.99,Top,0.0
C93,44.47,98.15,Top,0.0
C94,44.47,95.70,Top,0.0
C95,44.46,93.34,Top,0.0
C96,28.10,87.34,Top,270.0
C97,25.77,87.33,Top,270.0
C98,23.45,87.33,Top,270.0
C99,35.95,90.84,Top,180.0
C100,43.04,89.25,Top,270.0
C101,30.34,88.13,Top,90.0
C102,35.82,83.26,Top,270.0
C103,38.94,85.42,Top,90.0
C104,41.97,83.24,Top,270.0
C105,38.59,78.20,Top,90.0
C106,34.44,77.97,Top,270.0
C107,41.46,78.15,Top,90.0
C108,45.27,80.44,Top,0.0
C109,32.64,80.76,Top,180.0
C110,31.00,47.03,Top,180.0
C111,27.22,44.05,Top,270.0
C112,20.18,56.95,Top,225.0
C113,30.37,66.47,Top,45.0
C114,27.86,69.67,Top,45.0
C115,42.52,105.61,Top,180.0
C116,31.17,65.71,Top,45.0
C120,14.99,97.66,Top,270.0
C121,20.30,95.98,Top,0.0
C122,44.45,64.55,Top,180.0
C123,40.58,42.64,Top,0.0
C124,44.45,60.80,Top,180.0
C125,38.02,44.93,Top,270.0
C126,44.45,63.34,Top,180.0
C127,53.25,24.61,Top,0.0
C128,45.84,24.65,Top,0.0
C129,52.47,26.91,Top,90.0
C130, 8.51,16.73,Top,180.0
C131,16.04,16.94,Top,180.0
C133,50.61,14.41,Top,270.0
C134,50.55,21.64,Top,270.0
C136,45.77,33.40,Top,180.0
C137,52.38,33.38,Top,180.0
C139,49.02,21.65,Top,90.0
C140,49.14,14.54,Top,90.0
C142,45.55,38.95,Top,180.0
C143,52.44,39.33,Top,180.0
C145,39.36,14.41,Top,270.0
C146,39.21,21.31,Top,270.0
C148,45.56,45.50,Top,180.0
C149,52.55,45.59,Top,180.0
CLR,51.12,67.58,Top,270.0
CS0,10.97,44.04,Top,270.0
CS1,12.83,44.06,Top,90.0
CS2,14.62,44.09,Top,270.0
CS3,53.30,69.06,Top,270.0
D1,23.90,103.13,Top,90.0
D3,40.69,97.69,Top,90.0
D4,26.88,91.14,Top,180.0
DAC0,53.86,47.05,Top,180.0
DAC1,53.85,48.77,Top,180.0
DAC2,53.84,50.51,Top,180.0
DAC3,53.83,52.31,Top,180.0
DAC4,53.81,54.13,Top,180.0
DAC5,53.78,55.94,Top,180.0
DAC6,53.74,57.75,Top,180.0
DAC7,53.70,59.49,Top,180.0
DVDD,28.97,73.10,Top,225.0
ESD1,49.94,94.03,Top,270.0
IC1,17.30,97.27,Top,180.0
IC2,24.06,63.15,Top,315.0
IC3,34.47,63.19,Top,45.0
IC4,23.47,74.86,Top,315.0
IC6,18.82,26.88,Top,90.0
IC7,19.30,36.06,Top,90.0
IC8,36.07,26.77,Top,90.0
IC9,36.40,36.02,Top,90.0
IC10,26.39,49.58,Top,90.0
IC11,36.66,51.07,Top,0.0
IC12,45.49,54.19,Top,270.0
IC13,41.34,55.14,Top,270.0
IC14,33.78,95.62,Top,270.0
IC15,38.94,81.93,Top,270.0
IC22,49.74,63.27,Top,270.0
IC23,40.78,44.84,Top,90.0
IC24,45.89,26.98,Top,90.0
IC25,15.96,14.51,Top,270.0
IC26,52.89,21.59,Top,0.0
IC27,52.72,31.12,Top,270.0
IC28,46.84,14.19,Top,180.0
IC29,52.80,37.07,Top,270.0
IC30,41.57,21.64,Top,0.0
IC31,52.86,43.38,Top,270.0
IOVDD,15.30,19.85,Top,270.0
JP-3V3-1,12.32,21.59,Top,180.0
JP-3V3-2,12.32,19.97,Top,180.0
JP-EXT-1,12.95, 5.65,Top,0.0
JP-EXT-2,12.95, 3.80,Top,0.0
L3,36.57,103.45,Top,90.0
L4,26.95,95.69,Top,90.0
LDAC,51.53,73.99,Top,270.0
MISO,14.68,40.50,Top,270.0
MOSI,12.78,40.52,Top,270.0
R1,50.08,25.79,Top,0.0
R2,11.96,15.43,Top,180.0
R3,51.88,17.63,Top,270.0
R4,48.84,32.16,Top,180.0
R5,48.87,44.31,Top,180.0
R6,40.59,17.58,Top,270.0
R7,48.85,37.71,Top,180.0
R8,47.80,18.44,Top,90.0
R9,13.02,56.96,Top,0.0
R10,15.68,51.97,Top,90.0
R11,21.01,81.45,Top,270.0
R12,42.38,103.19,Top,180.0
R13,50.83,90.65,Top,270.0
R14,31.15,99.72,Top,180.0
R15,33.49,47.68,Top,90.0
R16,19.48,49.75,Top,90.0
R17,37.66,62.52,Top,225.0
R18,28.27,76.66,Top,315.0
R19,40.07,93.18,Top,180.0
R20,19.12,41.49,Top,270.0
R21,17.99,41.47,Top,270.0
R22,36.16,41.50,Top,270.0
R23,35.05,41.51,Top,270.0
R24,37.55,30.03,Top,0.0
R25,19.64,16.46,Top,90.0
R26,20.77,16.46,Top,90.0
R27,21.89,16.45,Top,90.0
R28,23.05,16.45,Top,90.0
R29,24.17,16.44,Top,90.0
R30,25.30,16.46,Top,90.0
R31,26.42,16.46,Top,90.0
R32,27.55,16.45,Top,90.0
R33,28.70,16.45,Top,90.0
R34,29.82,16.44,Top,90.0
R35,30.95,16.46,Top,90.0
R36,32.07,16.46,Top,90.0
R37,33.20,16.45,Top,90.0
R38,34.34,16.45,Top,90.0
R39,49.34,90.66,Top,270.0
R40,35.47,16.44,Top,90.0
R41,36.59,16.46,Top,90.0
R42,34.48,30.05,Top,0.0
R43,20.37,30.16,Top,0.0
R44,17.27,30.16,Top,0.0
R45,23.82,44.03,Top,270.0
R46,24.96,44.02,Top,90.0
