Comment,Designator,Footprint,LCSC Part #
,C1 C2,C0402,
,LED2,CHIPLED_0805,
,PI1,CM5,
,R10,0402,
,SD1,MICROSD,
0R,R6,0402,
1K,R5,0402,
2.2K 1%,R1 R3 R4 R13 R61,0402,
4.7nF,C13,C0402,
10K 1%,R12,0402,
10uF,C6 C7 C14 C15 C16 C17 C18 C19,C0805,
15K 1%,R2,0402,
74LVC1G07,IC3,SOT23-5,
100K 1%,R11,0402,
100nF,C3 C4 C5 C9 C10 C11 C12 C20,C0402,
100uF 16V,C8 C21,100UF-16V,
470R,R8 R9,0402,
629722000214,USBC,629722000214,
685119136923,HDMI1 HDMI2,685119136923,
AP3441SHE-7B,IC5,SON50P201X201X56-9T90X170N,
AP22653W6,IC2,SOT23-6,
CRYSTAL,X2,OSCCC500X320X130,
DNI,R7,0402,
FH12-22S-0.5SVA,J3 J4,FH12-22S-0.5SH,
Green,LED1,CHIPLED_0805,
L,L1,SRR5228A,
M.2,PCIE,M.2,
M2 x 1mm,2230 2242 2260 2280,WA-SMSI_9774010243,
RT9742GGJ,IC1,SOT23-5,
RT9742NGV,IC4,SOT23,
TP,TP-5VHD TP-5VP TP-BTN TP-GREF TP-LED TP-LX TP-M2CLK TP-M2FB TP-VBUS TP-VM2 TP-VSD TP_5VP,TP,
TPD4EUSB30,D1 D2,USON,
