Designator,Mid X,Mid Y,Layer,Rotation
2230,177.65,31.52,Top,270.0
2242,177.69,43.56,Top,270.0
2260,177.66,61.55,Top,270.0
2280,177.69,81.48,Top,270.0
C1,173.78,89.96,Top,180.0
C2,180.17,88.73,Top,0.0
C3,75.48,98.18,Top,0.0
C4,75.55,93.65,Top,0.0
C5,82.31,11.75,Top,90.0
C6,79.83, 4.32,Top,90.0
C7,59.94, 4.30,Top,90.0
C8,75.33, 6.46,Top,90.0
C9,142.63,-1.63,Top,0.0
C10,131.27, 2.25,Top,90.0
C11,101.57,18.89,Top,0.0
C12,163.24, 7.09,Top,0.0
C13,155.24, 2.57,Top,180.0
C14,157.99,-3.31,Top,0.0
C15,158.00,-1.17,Top,0.0
C16,158.01,-5.56,Top,0.0
C17,158.02,-7.78,Top,0.0
C18,150.73, 5.51,Top,180.0
C19,150.74, 7.70,Top,180.0
C20,151.24, 3.85,Top,180.0
C21,186.62,90.25,Top,90.0
D1,110.99,19.31,Top,270.0
D2,107.71,19.31,Top,90.0
HDMI1,63.50,93.98,Top,180.0
HDMI2,86.36,93.98,Top,180.0
IC1,128.46, 2.74,Top,90.0
IC2,79.57,12.27,Top,90.0
IC3,142.56, 0.61,Top,90.0
IC4,75.42,95.99,Top,270.0
IC5,152.33, 1.55,Top,270.0
J3,95.39,28.64,Top,0.0
J4,77.17,71.08,Top,270.0
L1,152.94,-5.88,Top,90.0
LED1,148.82,-12.11,Top,90.0
LED2,160.62,-12.12,Top,270.0
PCIE,177.65, 1.51,Top,0.0
PI1,127.00,72.39,Top,0.0
R1,180.15,89.94,Top,0.0
R2,79.52,14.51,Top,0.0
R3,160.96,69.65,Top,180.0
R4,160.97,72.15,Top,180.0
R5,142.66,-2.93,Top,180.0
R6,158.60,78.37,Top,0.0
R7,158.59,79.61,Top,0.0
R8,104.71,18.89,Top,0.0
R9,115.99,18.82,Top,0.0
R10,182.73,-9.03,Top,0.0
R11,152.86,-1.72,Top,270.0
R12,155.23, 1.36,Top,180.0
R13,154.57,-0.71,Top,270.0
R61,81.81,75.46,Top,90.0
SD1,129.54,-7.62,Top,0.0
TP-5VHD,78.12,92.00,Top,180.0
TP-5VP,160.37,81.35,Top,0.0
TP-BTN,148.10,90.25,Top,90.0
TP-GREF,161.08,66.90,Top,180.0
TP-LED,141.18, 3.35,Top,0.0
TP-LX,148.19,-7.68,Top,90.0
TP-M2CLK,165.24,-1.02,Top,270.0
TP-M2FB,156.17, 5.91,Top,90.0
TP-VBUS,62.76, 6.39,Top,0.0
TP-VM2,164.02,12.14,Top,90.0
TP-VSD,132.83, 5.37,Top,0.0
TP_5VP,123.45,10.25,Top,0.0
USBC,177.36,97.32,Top,180.0
X2,163.32, 3.47,Top,90.0
