Comment,Designator,Footprint,LCSC Part #
0R,JP-3V3-1 JP-3V3-2 JP-EXT-1 JP-EXT-2,0603,
0R,R9,0402,
1K,R1 R4,0402,
1M,R68,0402,
1uF,C3 C151 C153 C155 C157 C159 C161 C163 C165 C167 C169,C0402,
2.2K 1%,R5,0402,
4.7K,R2,0402,
4.7nF,C115,0402,
5.1K,R61 R62,0402,
10K,R22 R23 R63 R64 R72 R75 R77,0402,
10uF,C78,0805,
15pF,C1 C2,C0402,
27R,R6 R7,0402,
74LVC1G04,IC39,SOT95P280X145-5N,
100nF,C4 C5 C6 C77,C0402,
100nF,C79,0402,
100nF,C80 C81 C82 C83 C84 C87 C88 C89 C112 C113 C114 C116 C120 C121 C152 C154 C156 C158 C160 C162 C164 C166 C168 C170,C0402,
100nF,C171,C0603,
100uF 16V,C26 C27,100UF-16V,
200K,R8 R10 R11 R127,0402,
B3U-1000P-B,RESET USB_BOOT,SWITCH-OMRON_B3U-1000P,
DNI,R3,0402,
K5A1200015304P,X1,OSCCC500X320X130,
LM4040BXX,REF1,SOT23,
LSF0108,IC32 IC33 IC34 IC35,VQFN20,
MCP23S18,IC36 IC37,QFN50P400X400X100-25T265,
MCP6001AIDBVRG,IC3,SOT23-5,
MIC5504-3.3YM5-TR,IC1,SOT23-5,
RP2040,IC2,QFN40P700X700X100-57T510,
SN74LVC2G66,IC38,SOP50P310X90-8N,
SP0503BAHTG-ES,ESD1,SOT143,
SS12,D1,SMA,
TP,AVDD CS0 CS1 DIO_EN DIO_GND DIO_LS DIO_RST DIO_VREF DVDD IOVDD MISO MOSI SCK VBUS VREF1,TP,
USB-TYPE-C-018,USBC,629722000214,
W25Q128JVPIQ,IC4,SON127P600X500X75-8N,
YC164-JR-0733RL,R119 R120 R121 R122 R123 R124 R125 R126,YC164-JR-0733RL,
