Designator,Mid X,Mid Y,Layer,Rotation
AVDD,39.11,72.17,Top,0.0
C1,23.71,48.31,Top,90.0
C2,30.72,48.14,Top,270.0
C3,37.82,62.19,Top,270.0
C4,39.27,63.40,Top,270.0
C5,34.59,66.75,Top,90.0
C6,36.71,62.19,Top,270.0
C26,36.64,104.30,Top,90.0
C27,23.62,104.37,Top,90.0
C77,21.04,70.42,Top,180.0
C78,53.52,96.90,Top,0.0
C79,47.16,99.68,Top,270.0
C80,23.13,61.94,Top,180.0
C81,23.00,57.71,Top,180.0
C82,29.33,52.86,Top,270.0
C83,28.29,66.22,Top,90.0
C84,31.43,66.23,Top,90.0
C87,34.68,57.93,Top,0.0
C88,34.48,62.21,Top,0.0
C89,32.51,64.23,Top,90.0
C112,30.47,52.87,Top,270.0
C113,26.09,66.22,Top,90.0
C114,30.34,66.22,Top,90.0
C115,42.43,102.53,Top,270.0
C116,27.19,66.22,Top,90.0
C120,30.75,106.64,Top,180.0
C121,27.89,103.61,Top,90.0
C151,19.52,29.19,Top,90.0
C152,20.65,29.20,Top,90.0
C153,19.63,23.05,Top,270.0
C154,21.89,23.05,Top,270.0
C155,28.55,29.13,Top,90.0
C156,27.39,29.12,Top,90.0
C157,29.62,22.83,Top,270.0
C158,27.45,22.86,Top,270.0
C159,36.47,29.03,Top,90.0
C160,35.35,29.02,Top,90.0
C161,37.52,22.84,Top,270.0
C162,35.34,22.83,Top,270.0
C163,43.55,29.00,Top,90.0
C164,44.70,29.03,Top,90.0
C165,45.74,22.88,Top,270.0
C166,43.57,22.86,Top,270.0
C167,25.32,36.20,Top,45.0
C168,26.16,35.37,Top,45.0
C169,41.26,36.01,Top,45.0
C170,42.12,35.17,Top,45.0
C171,14.11,46.98,Top,0.0
CS0,38.68,46.29,Top,180.0
CS1,38.68,44.14,Top,180.0
D1,34.32,97.80,Top,0.0
DIO_EN,38.71,41.97,Top,180.0
DIO_GND,51.27,24.73,Top,90.0
DIO_LS,13.35,49.84,Top,0.0
DIO_RST,38.73,39.57,Top,180.0
DIO_VREF,48.91,24.74,Top,90.0
DVDD,26.05,73.31,Top,0.0
ESD1,49.78,96.50,Top,270.0
IC1,30.46,104.25,Top,90.0
IC2,29.04,58.93,Top,0.0
IC3,36.74,66.87,Top,0.0
IC4,19.30,67.02,Top,0.0
IC32,17.46,26.24,Top,270.0
IC33,25.27,26.12,Top,270.0
IC34,33.18,26.07,Top,270.0
IC35,41.41,26.06,Top,270.0
IC36,21.56,33.92,Top,135.0
IC37,37.49,33.90,Top,135.0
IC38,14.26,40.05,Top,180.0
IC39,14.24,43.95,Top,90.0
IOVDD,40.66,59.73,Top,0.0
JP-3V3-1, 8.46,14.74,Top,90.0
JP-3V3-2,10.04,14.73,Top,90.0
JP-EXT-1,14.08, 5.56,Top,0.0
JP-EXT-2,14.08, 3.92,Top,0.0
MISO,41.89,42.91,Top,0.0
MOSI,41.87,44.91,Top,0.0
R1,28.23,52.88,Top,90.0
R2,37.21,64.26,Top,180.0
R3,17.71,70.39,Top,0.0
R4,17.71,71.55,Top,180.0
R5,53.79,100.34,Top,0.0
R6,32.36,69.81,Top,180.0
R7,32.37,70.92,Top,180.0
R8,28.53,24.17,Top,90.0
R9,27.22,50.79,Top,0.0
R10,36.44,24.14,Top,90.0
R11,44.64,24.16,Top,90.0
R22,17.64,40.48,Top,90.0
R23,17.62,43.55,Top,90.0
R61,48.45,99.66,Top,270.0
R62,51.76,99.66,Top,270.0
R63,52.35,94.30,Top,270.0
R64,53.53,94.31,Top,90.0
R68,43.75,102.53,Top,270.0
R72,12.62,57.89,Top,90.0
R75,33.88,77.47,Top,270.0
R77,11.34,57.91,Top,270.0
R119,18.89,17.49,Top,180.0
R120,14.93,17.50,Top,180.0
R121,26.78,17.48,Top,180.0
R122,22.80,17.48,Top,180.0
R123,34.78,17.48,Top,180.0
R124,30.77,17.49,Top,180.0
R125,43.02,17.47,Top,180.0
R126,38.84,17.47,Top,180.0
R127,20.75,24.36,Top,90.0
REF1,40.12,66.95,Top,0.0
RESET,31.38,77.73,Top,90.0
SCK,41.87,40.91,Top,0.0
USBC,50.06,107.20,Top,180.0
USB_BOOT,27.64,77.74,Top,90.0
VBUS,44.22,98.34,Top,180.0
VREF1,40.73,57.34,Top,0.0
X1,27.23,48.24,Top,0.0
