Comment,Designator,Footprint,LCSC Part #
,IC6,QFN24,
,LED2,CHIPLED_0805,
,PI1,CM5,
0R,R6,0402,
1K,R5 R10 R34 R35 R36,0402,
2.2K,R16,0402,
2.2K 1%,R1 R3 R4 R13,0402,
2.2R,R30 R31,0402,
3.6K 1%,R21,0402,
4.2uH,L3,SRR5228A,
4.7nF,C13,C0402,
4.9uH,L2,SRR5228A,
6.8K 1%,R22,0402,
7.5K,R43 R46,0402,
9.09K,R39,0402,
10K,R14 R17 R18 R19,0402,
10K 1%,R12,0402,
10R,R40 R47,0402,
10pF,C26 C27,C0402,
10uF,C2 C6 C7 C14 C15 C16 C17 C18 C19 C23 C24 C25 C33 C34 C49,C0805,
10uF,C53,C1206,
10uF,C55,C0805,
12.7K,R50,0402,
12MHz,X1,WE-XTAL_CFPX-180,
15K 1%,R2 R33,0402,
20K,R41,0402,
22uF,C22,C0805,
22uF - 10V,C40 C41 C47 C48,C1206,
22uF 25V,C39 C46,C1206,
33K,R48,0402,
33pF,C38 C45,0402,
40.2K,R42 R49,0402,
100K,R27 R32 R44 R51,0402,
100K 1%,R11,0402,
100nF,C1,C0805,
100nF,C3 C4 C5,C0402,
100nF,C9,0402,
100nF,C10,C0402,
100nF,C11,C1206,
100nF,C12 C20 C21 C32,C0402,
100nF,C36 C37 C42 C43 C44,0402,
100nF,C50,C0402,
100nF,C54,C1206,
100nF,C56,C0402,
100uF,C51 C52,100UF-16V,
100uF 16V,C8 C35,100UF-16V,
470K,R28,0402,
470R,R8 R9,0402,
499K,R38 R45,0402,
629722000214,USBC,629722000214,
685119136923,HDMI2,685119136923,
AO4407A,T5,SO8,
AP3441SHE-7B,IC5,SON50P201X201X56-9T90X170N,
AP22653W6,IC2 IC7,SOT23-6,
BSS138,T1 T2 T3 T4 T6 T7 T8,SOT23,
CRYSTAL,X2,OSCCC500X320X130,
DNI,R7,0402,
FH12-22S-0.5SVA,DISP0,FH12-22S-0.5SH,
Green,LED1 LED3,CHIPLED_0805,
L,L1,SRR5228A,
M.2,PCIE,PCIE_M.2,
M2 x 1mm,2230 2242 2260 2280,WA-SMSI_9774010243,
MMBT3906,Q1 Q2,SOT23,
MP2315GJ-Z,IC3,SOT65P280X110-8N,
MP2315S ,IC8,SOT65P280X110-8N,
NC,R15 R20 R25 R26 R29 R37,0402,
RT9742GGJ,IC1,SOT23-5,
RT9742NGV,IC4,SOT23,
SS54B,D24,SMB,
TP,3VDC 3VFB 5VDC 5VFB GND GND-3 GND-5 SW SW3 TP-5VHD TP-5VP TP-GREF TP-HUB TP-LED TP-LX TP-M2CLK TP-M2FB TP-VBUS TP-VM2 TP-VSD TP_5VP TP_5VP1,TP,
TPD4EUSB30,D1 D2 D3 D4 D7 D8 D9 D13 D14 D15 D16,USON,
