Designator,Mid X,Mid Y,Layer,Rotation
3VDC,155.06,89.42,Top,270.0
3VFB,140.42,98.59,Top,90.0
5VDC,137.51,78.08,Top,0.0
5VFB,122.42,98.59,Top,90.0
2230,19.85,37.20,Top,0.0
2242,19.90,49.26,Top,0.0
2260,19.85,67.25,Top,0.0
2280,19.90,87.21,Top,0.0
C1,77.47,103.47,Top,180.0
C2,101.08,94.38,Top,0.0
C3,18.60,102.95,Top,0.0
C4,18.62,97.95,Top,0.0
C5,49.41,24.22,Top,180.0
C6,51.11,16.95,Top,270.0
C7,53.36,16.96,Top,270.0
C8,54.57,23.64,Top,90.0
C9,128.32,90.38,Top,0.0
C10,119.52,14.97,Top,90.0
C11,79.72,24.14,Top,90.0
C12, 2.75, 9.23,Top,0.0
C13, 9.29,27.01,Top,0.0
C14, 1.51,16.86,Top,270.0
C15, 3.78,16.87,Top,270.0
C16, 6.08,16.87,Top,270.0
C17, 9.75,25.30,Top,0.0
C18, 2.28,35.97,Top,180.0
C19, 2.26,33.80,Top,180.0
C20, 1.98,32.05,Top,180.0
C21,46.87,44.51,Top,0.0
C22,77.49,94.72,Top,180.0
C23,77.50,96.90,Top,180.0
C24,77.50,99.09,Top,180.0
C25,77.48,101.25,Top,180.0
C26,35.48,40.34,Top,180.0
C27,35.57,45.81,Top,0.0
C32,35.05,25.00,Top,180.0
C33,36.55,17.46,Top,270.0
C34,38.78,17.45,Top,270.0
C35,40.09,24.01,Top,90.0
C36,127.25,97.27,Top,90.0
C37,132.19,96.51,Top,0.0
C38,123.84,98.69,Top,270.0
C39,128.40,88.41,Top,0.0
C40,134.98,85.92,Top,270.0
C41,132.63,85.96,Top,270.0
C42,146.15,89.78,Top,0.0
C43,145.12,96.84,Top,90.0
C44,149.90,97.86,Top,0.0
C45,141.89,98.62,Top,270.0
C46,146.13,88.03,Top,0.0
C47,150.28,87.10,Top,270.0
C48,152.63,87.06,Top,270.0
C49,116.06,12.35,Top,270.0
C50,117.86,12.33,Top,270.0
C51,141.11,84.17,Top,270.0
C52,120.58,84.09,Top,270.0
C53,115.61,82.28,Top,270.0
C54,112.06,82.27,Top,270.0
C55,123.40,15.30,Top,90.0
C56,121.60,15.00,Top,90.0
D1,91.06,28.55,Top,270.0
D2,88.34,28.53,Top,90.0
D3, 6.82,95.13,Top,270.0
D4,10.02,95.16,Top,270.0
D7, 9.49,76.06,Top,0.0
D8, 9.48,79.06,Top,0.0
D9, 9.50,82.06,Top,0.0
D13,41.04,13.28,Top,90.0
D14,64.06,17.65,Top,270.0
D15,60.62,17.64,Top,90.0
D16,67.89,17.66,Top,270.0
D24,114.02,88.79,Top,90.0
DISP0, 3.48,79.81,Top,270.0
GND, 1.27,41.02,Top,90.0
GND-3,146.58,79.25,Top,0.0
GND-5,120.44,78.35,Top,0.0
HDMI2, 9.82,99.23,Top,180.0
IC1,120.84,11.70,Top,270.0
IC2,49.32,21.07,Top,180.0
IC3,127.97,93.33,Top,90.0
IC4,19.07,100.43,Top,270.0
IC5, 2.77,29.52,Top,270.0
IC6,41.20,43.22,Top,0.0
IC7,34.84,21.67,Top,180.0
IC8,145.80,92.73,Top,90.0
