EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
BT_NDIS	0.000000000	0.000000000	--	--
N$30	0.000000000	0.000000000	--	--
N$51	0.000000000	0.000000000	--	--
N$52	0.000000000	0.000000000	--	--
PWM	0.000000000	0.000000000	--	--
SCL0	0.000000000	0.000000000	--	--
SDA0	0.000000000	0.000000000	--	--
TACHO	0.000000000	0.000000000	--	--
VBAT	0.000000000	0.000000000	--	--
WL_NDIS	0.000000000	0.000000000	--	--
N$25	1.344209378	1.344209378	--	--
N$27	1.536213203	1.536213203	--	--
N$2	1.590477272	1.590477272	--	--
N$1	1.719142136	1.719142136	--	--
N$21	1.794142136	1.794142136	--	--
N$38	1.839234631	1.839234631	--	--
PCIE_EN	1.844142136	1.844142136	--	--
N$3	1.928284271	1.928284271	--	--
N$7	2.123822510	2.123822510	--	--
N$26	2.243082395	2.243082395	--	--
N$39	2.399589971	2.399589971	--	--
N$8	2.722426407	2.722426407	--	--
N$5	2.770355339	2.770355339	--	--
N$41	2.857903679	2.857903679	--	--
N$17	3.185330086	3.185330086	--	--
N$45	3.268604256	3.268604256	--	--
USB3B2_DP_P	3.291806082	3.291806082	--	--
USB3B2_DP_N	3.318019285	3.318019285	--	--
N$18	3.399863274	3.399863274	--	--
N$13	3.493711037	3.493711037	--	--
N$46	3.772269119	3.772269119	--	--
N$16	4.290512986	4.290512986	--	--
+1V8	4.672989899	4.672989899	--	--
HUB_XI	5.150426766	5.150426766	--	--
N$22	5.223081337	5.223081337	--	--
HUB_XO	6.835754760	6.835754760	--	--
N$15	6.979325035	6.979325035	--	--
PCIE_RST	7.529249276	7.529249276	--	--
SYNC_OUT	8.470463958	8.470463958	--	--
N$14	8.701198410	8.701198410	--	--
PCIE_CLKREQ	8.978767671	8.978767671	--	--
+12V	9.650355339	9.650355339	--	--
EEPROM_NWP	10.384938272	10.384938272	--	--
SW5	11.122148263	11.122148263	--	--
N$44	11.441102089	11.441102089	--	--
VBUS	11.617910638	11.617910638	--	--
N$43	11.782706345	11.782706345	--	--
N$42	11.803036072	11.803036072	--	--
N$28	12.479838380	12.479838380	--	--
N$9	12.515081310	12.515081310	--	--
N$12	12.546011178	12.546011178	--	--
N$24	12.662814412	12.662814412	--	--
SW3	12.757686502	12.757686502	--	--
N$10	12.961087177	12.961087177	--	--
HUB4_DP_N	13.000087216	13.000087216	--	--
HUB4_DP_P	13.000088699	13.000088699	--	--
GPIO4	13.008893937	13.008893937	--	--
5VFB	13.133183259	13.133183259	--	--
N$29	13.316066974	13.316066974	--	--
N$11	13.958201115	13.958201115	--	--
PCIE_DET_WAKE	14.394198769	14.394198769	--	--
HUB_USB_5V	14.418427125	14.418427125	--	--
TR2_TAP	14.451530291	14.451530291	--	--
TR0_TAP	14.537301936	14.537301936	--	--
HDMI_5V	15.314701295	15.314701295	--	--
GPIO17	18.196710918	18.196710918	--	--
GPIO27	19.241149383	19.241149383	--	--
GPIO22	20.909884194	20.909884194	--	--
N$4	22.647888737	22.647888737	--	--
USB_5V	23.912834047	23.912834047	--	--
N$23	24.781179285	24.781179285	--	--
N$6	24.797026689	24.797026689	--	--
SDA1	24.997071400	24.997071400	--	--
SCL1	25.204867039	25.204867039	--	--
HDMI0_SDA	26.466541115	26.466541115	--	--
TR1_TAP	28.043302654	28.043302654	--	--
TR3_TAP	28.473023074	28.473023074	--	--
SD_PWR	30.663399705	30.663399705	--	--
HDMI0_SCL	31.588368345	31.588368345	--	--
PMIC_ENABLE	31.610279894	31.610279894	--	--
CC2	34.603275720	34.603275720	--	--
GPIO5	34.722905474	34.722905474	--	--
HDMI0_CEC	35.660222567	35.660222567	--	--
CC1	35.735933327	35.735933327	--	--
GPIO6	36.580062761	36.580062761	--	--
GPIO23	38.199123793	38.199123793	--	--
GPIO13	38.647443549	38.647443549	--	--
DPHY1_DSIC_N	40.000019735	40.000019735	--	1.391204
DPHY1_DSIC_P	40.000024834	40.000024834	--	1.394584
DPHY1_DSID1_N	40.000032380	40.000032380	--	2.244245
DPHY1_DSID1_P	40.000037695	40.000037695	--	2.242236
DPHY1_DSID3_P	40.000078523	40.000078523	--	3.137364
DPHY1_DSID3_N	40.000083772	40.000083772	--	3.136544
DPHY1_DSID0_N	40.000084407	40.000084407	--	2.058414
DPHY1_DSID0_P	40.000085600	40.000085600	--	2.188518
DPHY1_DSID2_P	40.000086248	40.000086248	--	3.141364
DPHY1_DSID2_N	40.000090113	40.000090113	--	3.142590
HDMI0_HOTPLUG	41.941945758	41.941945758	--	--
HUB3_DP_P	42.000066692	42.000066692	--	2.175153
HUB3_DP_N	42.000070210	42.000070210	--	2.319107
HUB2_DP_P	42.000078146	42.000078146	--	1.430657
HUB2_DP_N	42.000078146	42.000078146	--	1.569186
GPIO26	42.760787307	42.760787307	--	--
GPIO7	52.231552924	52.231552924	--	--
USBOTG_ID	57.046592534	57.046592534	--	--
GPIO12	58.786265771	58.786265771	--	--
HDMI0_TDMSCK_P	59.900082270	59.900082270	--	1.249575
HDMI0_TDMSCK_N	59.900082575	59.900082575	--	1.327635
HDMI0_TDMS1_N	60.000052083	60.000052083	--	1.813751
HDMI0_TDMS1_P	60.000053599	60.000053599	--	1.948473
HDMI0_TDMS2_P	60.000078313	60.000078313	--	1.672461
HDMI0_TDMS2_N	60.000078618	60.000078618	--	1.541997
HDMI0_TDMS0_N	60.000985936	60.000985936	--	2.068275
HDMI0_TDMS0_P	60.000987492	60.000987492	--	1.933296
GPIO16	62.672849970	62.672849970	--	--
ETH_LEDG	63.451842228	63.451842228	--	--
PCIE_PWR_EN	64.009745769	64.009745769	--	--
PCIE_NCLKREQ	64.690233458	64.690233458	--	--
VBUS_EN	72.130578628	72.130578628	--	--
M2_3V3	72.253288950	72.253288950	--	--
ETH_LEDY	73.084364338	73.084364338	--	--
CAM_GPIO0	74.944714119	74.944714119	--	--
USB3B_DP_P	79.001485559	79.001485559	--	--
CAM_GPIO1	79.917306421	79.917306421	--	--
ETH_TX1_N	80.000026099	80.000026099	--	2.717386
ETH_TX1_P	80.000027580	80.000027580	--	2.587535
ETH_TX2_P	80.000058549	80.000058549	--	3.291709
ETH_TX2_N	80.000060031	80.000060031	--	3.162034
ETH_TX3_N	80.000060119	80.000060119	--	2.892905
ETH_TX3_P	80.000061601	80.000061601	--	2.891529
ETH_TX4_P	80.000072344	80.000072344	--	3.693157
ETH_TX4_N	80.000073825	80.000073825	--	3.690516
USB3B_DP_N	80.136858343	80.136858343	--	--
GPIO_VREF	84.778938591	84.778938591	--	--
PCIE_NRST	87.103167768	87.103167768	--	--
USB_DP_N	91.000076070	91.000076070	--	--
PCIE_NWAKE	93.149118927	93.149118927	--	--
USB_DP_P	93.849692028	93.849692028	--	--
PCIE_RX_P	100.000070941	100.000070941	--	--
PCIE_CLK_N	100.000073042	100.000073042	--	--
PCIE_CLK_P	100.000073360	100.000073360	--	--
PCIE_RX_N	100.000076872	100.000076872	--	--
PCIE_TX_N	100.000093884	100.000093884	--	--
PCIE_TX_P	100.000094202	100.000094202	--	--
PWR_BUT	107.282660477	107.282660477	--	--
USB3B_SSRX_P	110.000079957	110.000079957	--	1.375057
HUB1_DP_P	110.000087246	110.000087246	--	2.430852
USB3B_SSTX_N	110.000094233	110.000094233	--	2.809610
HUB1_DP_N	110.000095093	110.000095093	--	2.572841
USB3B_SSTX_P	110.000095737	110.000095737	--	2.953337
USB3B_SSRX_N	110.000097953	110.000097953	--	1.377912
GPIO2	110.558106756	110.558106756	--	--
GPIO3	110.776729810	110.776729810	--	--
NPWR_LED	113.821916267	113.821916267	--	--
GPIO9	115.058376297	115.058376297	--	--
GPIO19	118.824297411	118.824297411	--	--
GPIO15	118.930964901	118.930964901	--	--
GPIO14	120.068736462	120.068736462	--	--
GPIO10	120.383385962	120.383385962	--	--
